Sublect Id,Min X-Wrist,Min Y-Wrist,Min Z-Wrist,Min M-Wrist,Max X-Wrist,Max Y-Wrist,Max Z-Wrist,Max M-Wrist,Range X-Wrist,Range Y-Wrist,Range Z-Wrist,RangeM-Wrist,Mean X-Wrist,Mean Y-Wrist,Mean Z-Wrist,Mean M-Wrist,StDev X-Wrist,StDev Y-Wrist,StDev Z-Wrist,StDev M-Wrist,RMS X-Wrist,RMS Y-Wrist,RMS Z-Wrist,RMS M-Wrist,Activity
1,-4.326121198,-0.022891566,1.184394722,6.852287861,9.163767017,9.28313253,6.563528399,11.30266597,13.48988821,9.306024096,5.379133678,4.450378113,3.457164229,4.365171455,4.171536961,9.302594546,4.928274649,3.428489049,2.051267577,1.234710405,5.988840928,5.534294892,4.641625304,9.382927106,EE
1,-4.297320713,-0.296385542,1.145114745,6.615743695,9.299069732,9.184337349,6.836351119,11.55100632,13.59639045,9.480722892,5.691236374,4.935262621,3.085894255,4.461871013,4.052837948,9.339586042,5.115982813,3.612131402,2.072409526,1.235652184,5.942316241,5.723976879,4.545021085,9.419779736,EE
1,-4.581549985,-0.437349398,1.062292025,6.679600392,9.292392305,9.15060241,6.762828457,11.48847275,13.87394229,9.587951807,5.700536431,4.808872353,3.439560922,4.005568219,4.118232079,9.354286043,5.096487747,3.795902271,2.057588929,1.16814771,6.119948053,5.500794151,4.597422742,9.425963947,EE
1,-4.643042347,-0.686746988,1.162492828,5.229033868,10.25396387,9.156626506,6.672796902,12.17595758,14.89700622,9.843373494,5.510304073,6.946923708,3.390814895,3.887340913,3.766030359,9.280442939,5.499313913,3.802539732,1.907965826,1.536185879,6.427606795,5.419139743,4.215690448,9.404958832,EE
1,-5.268957072,-7.957831325,-11.09847103,4.40316187,-2.157793285,6.309638554,0.610599541,12.90157213,3.111163787,14.26746988,11.70907057,8.49841026,-3.96030951,-2.551899907,-6.203162761,9.583280522,0.927518745,5.153512157,3.035777144,2.232530942,4.065846429,5.715092781,6.895896415,9.835994106,EF
1,-5.645788935,-7.940963855,-9.63481354,5.06036399,-2.254529539,5.951807229,-0.082197361,12.29788158,3.391259396,13.89277108,9.552616179,7.237517593,-4.345146995,-2.091137431,-6.098786089,9.450698513,1.072187792,5.057043447,2.677874571,2.128196858,4.473299068,5.432595313,6.651666062,9.683395984,EF
1,-6.01090329,-7.797590361,-10.11644291,4.610786868,-2.733565878,5.645783133,0.487421113,12.63462202,3.277337412,13.44337349,10.60386402,8.023835149,-4.591481521,-2.591349003,-5.912432399,9.507972358,1.015782608,4.881707573,2.893384715,2.264038609,4.700702274,5.491401026,6.572008172,9.769512706,EF
1,-6.22023405,-7.848192771,-9.448253012,4.931875068,-2.199072274,5.775903614,0.487742398,12.297744,4.021161776,13.62409639,9.93599541,7.365868934,-4.675403896,-2.296966437,-5.714656995,9.412460473,1.229189909,5.033334238,2.824222947,2.344414443,4.831493447,5.491639774,6.363262297,9.694975162,EF
1,-6.362889791,-7.857831325,-9.471890419,4.535637287,-2.318625834,6.002409639,0.447366609,12.38552648,4.044263957,13.86024096,9.919257028,7.849889188,-4.687169694,-2.46932816,-5.520318708,9.407880156,1.271151449,5.161094639,2.771198838,2.334189969,4.853658297,5.68181367,6.166303585,9.68835927,EF
1,-6.662443581,-7.892771084,-9.365748709,4.728527851,-2.30323601,6.574698795,0.285751578,12.4911995,4.359207571,14.46746988,9.651500287,7.762671648,-4.79489478,-1.959975495,-5.446041551,9.391811426,1.348404034,5.253890524,2.761021372,2.187182564,4.977789926,5.565699949,6.095358903,9.638921549,EF
1,-6.963263511,-7.781927711,-8.735496271,5.186232841,-2.276105671,5.861445783,0.219262765,12.24720952,4.68715784,13.64337349,8.954759036,7.060976681,-5.062261544,-2.476673909,-5.286675225,9.393456136,1.347352458,5.046270834,2.482712563,2.107351587,5.2356557,5.584022424,5.831959336,9.623156797,EF
1,-7.065301739,-7.81686747,-8.687217441,4.923381523,-2.7202717,5.389156627,0.070648308,12.46786088,4.345030039,13.2060241,8.757865749,7.544479353,-5.137503859,-2.771696957,-5.440844735,9.456581435,1.230539769,4.855167708,2.465579322,2.230278625,5.280389109,5.554765611,5.964799875,9.711682021,EF
1,-6.773133535,-7.553012048,-8.773602983,4.904295131,-2.432396776,6.125301205,0.522286288,12.26673458,4.340736759,13.67831325,9.295889271,7.362439453,-5.150407378,-1.533871334,-5.357129326,9.308429708,1.382324971,5.040288911,2.738192532,2.277158405,5.329302509,5.222829037,6.004587159,9.577811615,EF
1,-6.612776787,-7.96746988,-8.436101549,5.465047105,-2.419238085,6.755421687,0.6194607,12.25522104,4.193538702,14.72289157,9.055562249,6.790173935,-5.224005038,-1.59416126,-5.086118319,9.366732016,1.26443372,5.283728257,2.533537543,1.843731144,5.372562187,5.479929748,5.673505185,9.543726504,EF
1,-2.549735233,-9.728915663,0.177819851,6.705579481,0.055907442,9.06626506,9.883643144,11.36371196,2.605642675,18.79518072,9.705823293,4.658132483,-1.373232663,-1.226017584,6.27743786,9.3507398,0.775523258,6.174253558,2.776808835,1.086630293,1.574508416,6.253748634,6.856580429,9.412818064,ER
1,-2.475757652,-9.865060241,0.085054504,6.239499332,0.069736433,8.679518072,9.213829604,10.64152773,2.545494084,18.54457831,9.1287751,4.4020284,-1.33353615,-2.005767068,5.982600535,9.332822691,0.666002964,6.342006766,2.578298097,1.090228908,1.488611595,6.611192834,6.507725816,9.395442005,ER
1,-2.836877955,-9.715662651,1.082475617,7.316280443,-0.542346495,8.777108434,8.603407917,10.6879344,2.29453146,18.49277108,7.520932301,3.371653957,-1.637080987,-1.56366876,5.972336347,9.341021667,0.689159484,6.539899778,2.218184399,1.020321595,1.774340905,6.679292676,6.365519844,9.395801146,ER
1,-2.954356835,-9.963855422,0.035786001,7.580535445,0.344062492,9.24939759,8.933324727,11.21060287,3.298419327,19.21325301,8.897538726,3.63006742,-1.525664699,-1.102590361,5.792013339,9.36789847,0.884641027,6.736578945,2.440135989,0.900140615,1.760812355,6.784536291,6.279112507,9.41050725,ER
1,-3.467548392,-10.18554217,0.179911073,7.741871783,-0.581858411,9.206024096,8.563287435,11.57593659,2.885689981,19.39156627,8.383376363,3.83406481,-1.946799135,-1.067751526,5.7795747,9.404932073,0.817138972,6.749368977,2.356997846,0.999265094,2.109282184,6.789879584,6.235926074,9.457182989,ER
1,-4.073452679,-9.140963855,0.489165232,7.902249598,0.047056736,9.153012048,8.523729203,11.37003622,4.120509415,18.2939759,8.03456397,3.467786619,-1.919815779,-0.797167047,5.806489782,9.338389674,1.023667055,6.664127456,2.318786343,0.996333547,2.172424022,6.666777848,6.24655382,9.390675569,ER
1,-3.498299213,-9.455421687,-0.042771084,6.721853876,0.18194945,8.746987952,8.681899025,11.05604471,3.680248663,18.20240964,8.724670109,4.334190829,-1.777943634,-1.790343728,5.749926091,9.319702466,1.029801151,6.52031363,2.475465283,1.251489692,2.050848247,6.71525185,6.252956247,9.402129959,ER
1,-3.691281048,-9.518072289,0.470588067,7.1451468,1.039663324,8.526506024,8.880131956,11.40166736,4.730944373,18.04457831,8.40954389,4.256520559,-1.533650291,-1.14858202,5.819878591,9.245763484,1.220765353,6.516989943,2.497661381,1.228338518,1.954334685,6.567876076,6.325608679,9.325757093,ER
1,-3.553781023,-9.736144578,0.361437177,7.293428836,0.348493371,9.014457831,8.575513483,11.09603388,3.902274394,18.75060241,8.214076305,3.802605048,-1.371357849,-1.647038153,5.534033674,9.394577093,1.074108795,6.945109394,2.424909431,1.217462949,1.737327921,7.090652646,6.03523365,9.472048799,ER
1,-3.258820017,-9.343373494,0.043582903,7.275594031,0.763694606,9.101204819,8.849621343,11.20863572,4.022514622,18.44457831,8.806038439,3.933041693,-1.251678459,-2.187653987,5.362032496,9.385022634,1.049200522,6.842428394,2.601300772,1.053422901,1.62946369,7.146929555,5.953329079,9.443298211,ER
1,-8.85919793,-0.534939759,-3.747644865,8.521005685,-8.173310424,2.236144578,0.916560528,9.139071914,0.685887505,2.771084337,4.664205393,0.618066229,-8.432301992,1.033281177,-1.527000134,8.79655908,0.20119274,0.853544522,1.472708179,0.153961924,8.434670693,1.33669245,2.11481244,8.797888841,IR
1,-8.87381783,0.042168675,-3.371104418,8.435360347,-8.02383432,2.795180723,1.23786288,9.064746234,0.84998351,2.753012048,4.608967298,0.629385887,-8.390071394,1.334390503,-1.207054985,8.789225007,0.305842693,0.998181464,1.617417269,0.179783977,8.395562052,1.662020399,2.008618729,8.791036524,IR
1,-9.009592094,-0.030120482,-3.370197935,8.262139171,-7.768595132,3.007228916,1.209888124,9.126778414,1.240996962,3.037349398,4.580086059,0.864639243,-8.362993878,1.479556937,-1.17957438,8.806503913,0.39886915,1.099721599,1.668837336,0.2302283,8.372347169,1.838197507,2.032607716,8.809464304,IR
1,-8.991616337,-0.497590362,-3.836319564,8.405626045,-7.647255852,3.25060241,1.59975043,9.159082908,1.344360485,3.748192771,5.436069994,0.753456863,-8.320609295,1.485386708,-1.189421141,8.853494436,0.446770136,1.325981178,1.926312098,0.217052736,8.332402005,1.983996289,2.250677964,8.856111774,IR
1,-8.958660777,-0.115662651,-3.978146873,8.319429685,-7.663599724,3.071084337,1.284351693,9.258530086,1.295061053,3.186746988,5.262498566,0.939100401,-8.293396261,1.550252623,-1.454553421,8.866867167,0.425268665,1.244919789,1.928731343,0.203803918,8.30411693,1.98194634,2.403274885,8.869171295,IR
1,-8.907176893,0.342168675,-3.433476764,8.473738449,-7.758537891,2.932530121,1.328812392,9.039284256,1.148639002,2.590361446,4.762289157,0.565545807,-8.362590153,1.518653926,-1.061074693,8.79150992,0.365787647,1.006307769,1.694611069,0.154110567,8.37044848,1.81700454,1.986976093,8.79283727,IR
1,-8.88266819,0.16626506,-2.995760184,8.357733164,-7.959773363,3.187951807,1.127317843,9.20963647,0.922894827,3.021686747,4.123078026,0.851903306,-8.360012099,1.723688601,-1.110830222,8.81999708,0.326976633,1.115893232,1.56299003,0.199488835,8.366305707,2.048697855,1.907694408,8.822218091,IR
1,-8.937877002,0.391566265,-3.017969019,8.423431646,-7.742202441,3.321686747,1.347002295,9.173400582,1.195674562,2.930120482,4.364971314,0.749968937,-8.331948218,1.736348785,-0.998251165,8.80027555,0.364311925,1.112865572,1.658506728,0.201463754,8.339774262,2.057276324,1.923675872,8.802542216,IR
1,-8.921764576,0.078313253,-3.621752725,8.308679874,-7.801148874,3.354216868,1.489156627,9.346123763,1.120615703,3.275903615,5.110909352,1.037443888,-8.339881005,1.561923164,-1.102137445,8.862120739,0.367036477,1.192053602,1.984000174,0.245398903,8.347801455,1.958005259,2.253152157,8.865453647,IR
1,-8.956310914,0.18313253,-3.542811245,8.321771519,-7.772301633,3.33253012,1.401422834,9.263748404,1.184009282,3.14939759,4.944234079,0.941976884,-8.337781424,1.833584337,-1.089384771,8.862038738,0.368828524,1.203660171,1.730016778,0.196273983,8.345807811,2.188193745,2.03296637,8.86417803,IR
1,0.074006053,-10.5746988,-0.216414228,7.414279927,1.850921495,1.239759036,9.428565691,11.12094605,1.776915442,11.81445783,9.64497992,3.706666123,0.822155885,-6.03685994,5.215344503,9.549283232,0.531996338,4.29886008,3.111372705,1.136507347,0.977758803,7.398065548,6.064620218,9.615976525,Extensor
1,-0.267272136,-10.35301205,0.645074584,6.622003002,1.471227249,2.14939759,9.428717728,12.01043682,1.738499385,12.50240964,8.783643144,5.388433819,0.646687755,-5.777226553,5.513449597,9.515965869,0.570844613,4.496892698,2.781049499,1.288493803,0.860740311,7.307539617,6.168998049,9.601955325,Extensor
1,-0.009126944,-10.00361446,1.509959839,6.539525203,1.185271265,3.895180723,8.940783133,11.95031986,1.194398209,13.89879518,7.430823293,5.410794654,0.560264075,-5.287951807,6.048160013,9.528442394,0.361770652,4.779901435,2.276299214,1.394033992,0.665857754,7.110852302,6.458023087,9.628792718,Extensor
1,-0.539733234,-9.909638554,2.123866896,7.456462761,1.605882347,3.824096386,8.505461847,11.77459833,2.14561558,13.73373494,6.381594951,4.318135566,0.413976981,-4.964425444,6.325537048,9.543254082,0.573533374,4.829182397,2.119754487,1.27029706,0.704826558,6.907659455,6.667642938,9.626525955,Extensor
1,0.014317437,-10.23253012,0.293499713,7.382757696,1.853453667,3.273493976,8.470240964,11.42125479,1.839136229,13.5060241,8.176741251,4.038497091,0.947459487,-5.490361446,5.449483852,9.509157813,0.544307495,4.880411114,2.749708663,1.298925862,1.091309991,7.329521909,6.097655228,9.596574816,Extensor
1,0.135232127,-10.32650602,0.799050488,7.078677898,1.675608108,3.187951807,7.998476764,11.94554733,1.540375981,13.51445783,7.199426277,4.866869432,0.91687874,-5.38297538,5.69988591,9.559814176,0.475468501,5.055519577,2.399836607,1.462771303,1.031639294,7.365927964,6.17942675,9.669875354,Extensor
1,0.040966784,-10.08192771,1.593654618,6.693514748,1.451245295,3.573493976,8.077234653,12.01948484,1.410278512,13.65542169,6.483580034,5.325970089,0.719777178,-5.230148179,5.939573598,9.529613217,0.378748749,5.122026767,2.077788622,1.646722027,0.812330562,7.299866755,6.288570349,9.669232266,Extensor
1,-0.361688724,-10.71084337,0.869632817,6.628990378,1.203312774,3.480722892,8.342785427,11.99445805,1.565001498,14.19156627,7.47315261,5.365467674,0.455191739,-5.525637433,5.737145592,9.534158701,0.484867064,5.027604163,2.194885285,1.662351377,0.662994656,7.450876213,6.138105837,9.676335129,Extensor
1,-0.751366902,-10.95783133,1.058952955,6.911463475,1.560852112,2.642168675,8.289073437,12.40437938,2.312219014,13.6,7.230120482,5.492915904,0.24523531,-6.182195448,5.512700927,9.597774943,0.639910325,4.56275883,2.30966883,1.67987958,0.681593873,7.666895518,5.971480782,9.741890977,Extensor
1,-0.030640939,-10.41084337,0.66145152,7.194050334,1.678831172,1.94939759,8.796520367,11.87058042,1.709472111,12.36024096,8.135068847,4.676530085,0.871001935,-6.525461847,4.943284731,9.563027565,0.616422602,4.194591337,2.746789518,1.271473498,1.065364899,7.746527043,5.648810569,9.646385045,Extensor
1,-10.62807665,-10.45783133,-1.168537005,2.328068461,4.259568306,6.674698795,3.0726965,14.8849424,14.88764496,17.13253012,4.241233505,12.55687394,-5.32768278,-3.973156627,1.316104073,9.580948059,4.366509095,5.975307112,1.196114697,3.112709923,6.869962648,7.142423356,1.773060752,10.06748939,Flexor
1,-9.925579745,-9.718072289,-1.162412507,5.116139995,3.659415515,6.879518072,4.046741251,13.58087731,13.58499526,16.59759036,5.209153758,8.464737314,-5.305745122,-3.181159639,1.445436066,9.558634289,4.185929471,6.16483381,1.786506467,2.658124562,6.741951629,6.902889819,2.289322107,9.916894439,Flexor
1,-10.13304552,-10.3686747,-0.673973035,4.65046533,3.606921465,6.619277108,3.742079748,14.13698586,13.73996699,16.98795181,4.416052783,9.486520535,-5.61229794,-2.679695252,1.250574061,9.389953663,4.357567393,6.01307463,1.451392775,2.933940822,7.085692674,6.542637968,1.907746819,9.831207971,Flexor
1,-10.41028439,-10.10120482,-0.908184165,3.962108456,4.524547352,6.91686747,3.132584624,14.38558718,14.93483174,17.01807229,4.040768789,10.42347872,-5.617460838,-3.415630088,0.919115536,9.764840593,4.663988831,6.167198612,1.395163303,3.121879952,7.281119518,7.013336586,1.662813945,10.24531804,Flexor
1,-10.07316109,-10.30843373,-1.084380379,4.477869879,4.499001262,6.326506024,3.048399312,13.58382625,14.57216236,16.63493976,4.13277969,9.105956366,-5.680549839,-3.180081364,1.029292159,9.544344465,4.298125522,5.871961993,1.508238091,2.635920717,7.106518762,6.644175173,1.817878396,9.897088183,Flexor
1,-10.21321182,-9.622891566,-0.73277969,4.977212309,5.662168403,6.846987952,3.029156627,13.56720286,15.87538023,16.46987952,3.761936317,8.589990547,-5.105742876,-2.721895582,1.345302046,9.50244194,4.848933999,6.20141029,1.270070133,2.798235373,7.019065163,6.734496167,1.844290657,9.900612224,Flexor
1,-10.6290756,-10.60481928,-0.515002869,4.587582311,4.722998773,6.668674699,3.630920826,14.54382044,15.35207437,17.27349398,4.145923695,9.956238128,-5.394694949,-2.680655014,1.514810308,9.579382679,4.924749699,6.122754734,1.380581844,3.11549057,7.28109191,6.64424827,2.042990783,10.06648627,Flexor
1,-10.84297435,-9.610843373,-0.748327596,3.638605608,4.733801691,6.556626506,3.3156856,14.24301833,15.57677604,16.16746988,4.064013196,10.60441272,-5.742818452,-2.912726964,1.112831123,9.670520825,5.096923008,5.84616233,1.288362636,3.205234264,7.654586325,6.494629898,1.695550891,10.18075646,Flexor
1,-11.3247321,-9.7,-0.680651176,3.459515066,4.88701257,7.295180723,3.457633391,14.87425338,16.21174467,16.99518072,4.138284567,11.41473831,-5.441951003,-2.420709866,1.188343529,9.672900259,5.261950283,6.175432464,1.320675897,3.180202244,7.545116812,6.593970843,1.769964718,10.17555965,Flexor
1,-10.83403186,-9.887951807,-1.381718302,4.039337801,4.949831611,6.83373494,4.421692484,14.37919339,15.78386347,16.72168675,5.803410786,10.33985559,-5.318177782,-3.109763191,0.954459843,9.626871164,4.848630615,6.021131677,1.659130515,2.842221967,7.177883592,6.745957369,1.905798328,10.03304644,Flexor
2,-5.007308561,-12.13253012,0.497257602,3.809136986,-0.955748897,5.984337349,7.396752725,14.38200624,4.051559663,18.11686747,6.899495123,10.57286926,-2.853362787,-5.350620128,4.561022915,9.606298691,1.24270076,6.446137535,1.653649463,3.25673194,3.108580705,8.340908579,4.84739853,10.13564514,Abduction
2,-4.947094335,-13.6746988,1.113580034,3.604898762,-0.753889253,6.21686747,7.394836489,16.12982634,4.193205082,19.89156627,6.281256454,12.52492757,-2.831845768,-5.168515237,4.580037123,9.753747206,1.328668082,6.981433652,1.643802369,3.632281612,3.123899512,8.645067656,4.862004701,10.39879958,Abduction
2,-4.984818272,-13.87951807,0.868083764,2.658994883,-0.556238932,6.46746988,7.90417097,16.41681238,4.42857934,20.34698795,7.036087206,13.7578175,-2.833894726,-5.23781279,4.529940862,9.844692199,1.541668341,7.19050522,1.766915106,3.953552276,3.220424715,8.851136184,4.857398749,10.59755017,Abduction
2,-5.109040566,-14.44578313,0.595447504,2.05154539,-0.409247184,6.796385542,7.723711991,17.12312045,4.699793382,21.24216867,7.128264487,15.07157506,-2.89627437,-5.483929837,4.147897346,9.875184759,1.423248531,7.207992629,2.043700352,3.959862834,3.22246068,9.01468789,4.61739551,10.62869662,Abduction
2,-4.963946201,-13.83975904,0.794664372,3.625831502,-0.741375393,6.521686747,7.76342226,16.20235023,4.222570807,20.36144578,6.968757889,12.57651873,-2.804292123,-5.332725018,4.447754505,9.79024098,1.388189841,6.96832365,1.795655585,3.653929363,3.124545738,8.7339229,4.791605345,10.44048261,Abduction
2,-4.736447494,-13.54457831,0.825915089,3.592959677,-0.706718464,6.318072289,7.910883534,16.20340826,4.02972903,19.8626506,7.084968445,12.61044859,-2.78612706,-5.061995039,4.706056411,9.781912205,1.38165268,6.995880014,1.781316206,3.643151847,3.105381639,8.593392269,5.027264794,10.42895858,Abduction
2,-5.030864579,-13.54698795,1.302621916,3.479186919,-0.499073228,6.136144578,7.65939759,16.11203297,4.53179135,19.68313253,6.356775674,12.63284605,-2.86217907,-5.116619419,4.705758665,9.830505818,1.488527269,7.02104583,1.78932952,3.740432245,3.221055485,8.645805406,5.029789351,10.50827914,Abduction
2,-5.730549413,-12.57108434,1.914001721,3.858800325,-1.16171303,6.531325301,7.593387837,15.00983648,4.568836383,19.10240964,5.679386116,11.15103615,-3.308884256,-4.536663577,4.722873781,9.726858873,1.48521815,7.062571335,1.521845915,3.603950344,3.622243982,8.348284074,4.958419177,10.36341735,Abduction
2,-5.699068306,-13.0746988,1.792581756,3.328498729,-0.725022458,6.522891566,7.875737235,16.0536979,4.974045848,19.59759036,6.083155479,12.72519917,-3.275221339,-5.156255792,4.565612119,9.822542629,1.597543676,6.942663247,1.796893595,3.880626225,3.638675148,8.604998518,4.901424931,10.55035178,Abduction
2,-5.410032379,-13.23855422,0.071675273,3.249767756,-0.641530567,7.071084337,7.728003442,16.16023044,4.768501812,20.30963855,7.65632817,12.91046268,-3.074011137,-5.25986764,4.180048201,9.823614318,1.384450455,7.037507653,2.129308835,3.669270558,3.367380542,8.746151441,4.684324982,10.47746712,Abduction
2,-7.258805959,-8.246987952,-7.624796328,6.427202417,-1.582898836,8.512048193,0.025393001,11.78691552,5.675907123,16.75903614,7.650189329,5.359713099,-4.812125557,-1.223493976,-4.22062848,9.368305601,1.825326391,6.314130472,2.331598433,1.631676208,5.141922938,6.385834591,4.813534011,9.507279559,EF
2,-7.504607779,-8.437349398,-7.319417671,6.142677841,-0.878942447,8.502409639,0.530590935,12.0587872,6.625665332,16.93975904,7.850008606,5.916109358,-4.895376933,-1.098721038,-3.910467187,9.311900704,2.158537167,6.287948719,2.400556034,1.729101136,5.343436792,6.335393081,4.578838985,9.468647669,EF
2,-7.786992115,-8.236144578,-7.153138267,5.954918147,-1.042977178,8.440963855,0.92815261,12.14426273,6.744014937,16.67710843,8.081290878,6.189344583,-4.956008068,-1.495903614,-3.733641335,9.302788048,2.182071766,6.258329258,2.46468844,1.866844987,5.40834543,6.387632452,4.463329471,9.485428751,EF
2,-7.707986343,-8.385542169,-7.043542742,6.2251786,-0.935768884,8.443373494,0.968192771,11.95216881,6.772217459,16.82891566,8.011735513,5.726990209,-4.93897761,-1.523299079,-3.694949968,9.336619797,2.113870157,6.336099385,2.40817706,1.705711,5.366212297,6.471183111,4.400759928,9.488895259,EF
2,-7.884841535,-8.480722892,-6.841933448,6.062587689,-1.200174139,8.644578313,0.56089214,12.076999,6.455072858,17.04578313,7.654905336,5.61504374,-4.88262312,-0.949731233,-3.853072642,9.318238404,2.07240845,6.402918428,2.380524104,1.726148628,5.298000593,6.424066089,4.51950006,9.474350437,EF
2,-7.655246997,-8.401204819,-7.094013196,6.461955256,-1.200174139,8.644578313,0.56089214,12.076999,6.455072858,17.04578313,7.654905336,5.61504374,-4.88262312,-0.949731233,-3.853072642,9.318238404,2.07240845,6.402918428,2.380524104,1.726148628,5.298000593,6.424066089,4.51950006,9.474350437,EF
2,-7.799598042,-8.136144578,-7.036620769,6.005024924,-1.312759232,8.498795181,0.623749283,12.06487926,6.48683881,16.63493976,7.660370052,6.059854334,-5.079236683,-1.591973777,-3.660411014,9.298099602,2.109949442,6.245511419,2.197761167,1.702329069,5.494093465,6.400560107,4.261188949,9.450394909,EF
